"","datetime","station_temp","dew_point","rel_humid","precip","pressure"
"1",2023-06-07 01:00:00,12.8,9.6,81,0,95.1
"2",2023-06-07 02:00:00,16.2,10.9,71,0,95.07
"3",2023-06-07 03:00:00,18.8,11.4,62,0,95.04
"4",2023-06-07 04:00:00,20.8,9.6,49,0,95.04
"5",2023-06-07 05:00:00,22.3,9.2,43,0,95.02
"6",2023-06-07 06:00:00,23.2,7.2,36,0,95
"7",2023-06-07 07:00:00,24.2,7.8,35,0,95
"8",2023-06-07 08:00:00,24.7,5.3,29,0,94.96
"9",2023-06-07 09:00:00,25.7,6.8,30,0,94.92
"10",2023-06-07 10:00:00,26.2,6.2,28,0,94.88
"11",2023-06-07 11:00:00,26.4,6.5,28,0,94.83
"12",2023-06-07 12:00:00,26.7,7.8,30,0,94.84
"13",2023-06-07 13:00:00,26,7.9,32,0,94.84
"14",2023-06-07 14:00:00,25.6,12.3,44,0,94.85
"15",2023-06-07 15:00:00,21.2,11.9,55,0,94.89
"16",2023-06-07 16:00:00,17.6,10.7,64,0,94.93
"17",2023-06-07 17:00:00,15.2,10.4,73,0,94.93
"18",2023-06-07 18:00:00,17,9.8,62,0,94.94
"19",2023-06-07 19:00:00,14,9.2,73,0,94.96
"20",2023-06-07 20:00:00,12.6,9.5,81,0,94.96
"21",2023-06-07 21:00:00,12.7,10,84,0,95.05
"22",2023-06-07 22:00:00,11.8,8.4,80,0,95.09
"23",2023-06-07 23:00:00,11.2,8.6,84,0,95.11
"24",2023-06-08,13.2,11.4,89,0,95.12
"25",2023-06-08 01:00:00,17.2,13.4,78,0,95.14
"26",2023-06-08 02:00:00,19.8,12,61,0,95.17
"27",2023-06-08 03:00:00,22.1,11.4,50,0,95.2
"28",2023-06-08 04:00:00,23.7,12.9,51,0,95.23
"29",2023-06-08 05:00:00,25.3,13.7,49,0,95.24
"30",2023-06-08 06:00:00,26.7,13.5,44,0,95.25
"31",2023-06-08 07:00:00,27.5,11.4,37,0,95.23
"32",2023-06-08 08:00:00,27.4,10.6,35,0,95.22
"33",2023-06-08 09:00:00,28.1,10.3,33,0,95.17
"34",2023-06-08 10:00:00,28,8.2,29,0,95.17
"35",2023-06-08 11:00:00,28.2,7.3,27,0,95.16
"36",2023-06-08 12:00:00,26.6,8,31,0,95.16
"37",2023-06-08 13:00:00,24.3,6.7,32,0,95.21
"38",2023-06-08 14:00:00,21.2,7.8,42,0,95.26
"39",2023-06-08 15:00:00,20.4,7.5,43,0,95.3
"40",2023-06-08 16:00:00,16.4,7.8,56,0,95.37
"41",2023-06-08 17:00:00,12,7.7,75,0,95.43
"42",2023-06-08 18:00:00,13.4,9.1,76,0,95.43
"43",2023-06-08 19:00:00,14,7.4,64,0,95.43
"44",2023-06-08 20:00:00,13.5,8.1,70,0,95.41
"45",2023-06-08 21:00:00,12.8,8.1,73,0,95.46
"46",2023-06-08 22:00:00,11.1,7,76,0,95.5
"47",2023-06-08 23:00:00,10.2,7.9,86,0,95.49
"48",2023-06-09,12,6.9,71,0,95.51
"49",2023-06-09 01:00:00,14.2,7.4,64,0,95.53
"50",2023-06-09 02:00:00,15.6,8.6,63,0,95.56
"51",2023-06-09 03:00:00,18.3,9.8,58,0,95.58
"52",2023-06-09 04:00:00,20.1,8.2,46,0,95.57
"53",2023-06-09 05:00:00,21.4,7.5,41,0,95.55
"54",2023-06-09 06:00:00,22.6,8,39,0,95.54
"55",2023-06-09 07:00:00,23.1,6.5,34,0,95.51
"56",2023-06-09 08:00:00,23.4,6.1,33,0,95.5
"57",2023-06-09 09:00:00,23.5,6.6,34,0,95.47
"58",2023-06-09 10:00:00,22.9,6.7,35,0,95.46
"59",2023-06-09 11:00:00,22.5,7.1,37,0,95.44
"60",2023-06-09 12:00:00,21.8,9,44,0,95.43
"61",2023-06-09 13:00:00,20.7,8.1,44,0,95.42
"62",2023-06-09 14:00:00,18.7,8.6,52,0,95.43
