Elevation_,x,y
1776.8895,663186.9283638160,5883371.5792029444
1776.9092,663187.3708419342,5883372.5537015721
1776.8895,663187.9498811638,5883374.9525904115
1776.7845,663188.4881948114,5883377.3482014462
1776.7189,663188.2657209650,5883379.6486823810
1776.6106,663187.4231874446,5883381.8250821726
1776.5220,663186.8117486548,5883384.0224800864
1776.4695,663186.3261996986,5883386.1599140856
1776.4662,663185.9034336812,5883388.2474857410
1776.4630,663185.6401166122,5883390.3569590757
1776.4400,663185.2929380328,5883392.4479922028
1776.4072,663184.7202983772,5883394.5002926383
1776.3744,663184.2306300104,5883396.5735639594
1776.3153,663183.7222938372,5883398.6397424974
1776.2628,663183.3938285492,5883400.6715091355
1776.1874,663183.1958691524,5883402.7126132967
1776.0529,663182.8082953892,5883404.7453760253
1775.9347,663182.3516144360,5883406.7931581624
1775.8462,663182.0195317942,5883408.8544193134
1775.7707,663182.2843818699,5883410.8462383179
1775.7149,663182.4694459920,5883412.8377934815
1775.6329,663182.5216381156,5883414.8264999790
1775.5771,663182.3515588770,5883416.8167774510
1775.5050,663181.8579885132,5883418.8313493449
1775.4393,663181.7697767094,5883420.8257471835
1775.4262,663181.8214173358,5883422.8089790875
1775.4295,663182.4887662198,5883424.7404431012
1775.3672,663182.8058002304,5883426.6942872163
1775.3475,663182.9779012016,5883428.6548934123
1775.3573,663183.3588258734,5883430.6189272394
1775.3967,663183.8241275538,5883432.5960743725
1775.4721,663184.4432207784,5883434.5938174287
1775.5115,663184.9163721442,5883436.6260128841
1775.5673,663184.8031491182,5883438.6085371142
1775.6001,663184.7539300605,5883440.6058199676
1775.6493,663184.1091380408,5883442.5084698442
1775.7182,663183.0150345678,5883444.3633265197
1775.7445,663182.2145551834,5883446.2774946848
1775.7773,663180.9880184204,5883448.2428660160
1775.8265,663180.4246976238,5883450.2500553532
1775.8954,663180.7576599952,5883452.2027710201
1775.9446,663181.4638439682,5883454.1337744389
1775.9610,663181.7908250747,5883456.0947489459
1775.9938,663181.8701004912,5883458.0697906455
1776.0200,663181.8803691694,5883460.0470505795
1776.0660,663181.9415663098,5883462.0114565166
1776.1250,663181.4860540712,5883463.9776633279
1776.2038,663181.3325649912,5883465.9513581712
1776.3153,663181.3065565354,5883467.9109054636
1776.3678,663181.7804322878,5883469.8586154673
1776.4334,663182.1885104713,5883471.8186738463
1776.4662,663182.4131559378,5883473.7858550688
1776.5056,663182.4721144036,5883475.7529685469
1776.5155,663182.5599185306,5883477.7453360362
1776.5811,663182.6381696806,5883479.7465088433
1776.6172,663182.2667881242,5883481.7074487358
1776.6861,663182.0493313540,5883483.6751823919
1776.7320,663181.8608416476,5883485.6508045383
1776.7714,663181.6260794932,5883487.6108236499
1776.8239,663181.5179275128,5883489.5822747434
1776.8599,663181.4504372096,5883491.5686926879
1776.9223,663181.3776462146,5883493.5453547863
1776.9518,663181.2878562970,5883495.5250017680
1776.9518,663181.2533706664,5883497.4912755210
1776.9781,663181.5493056268,5883499.4619948138
1777.0043,663181.7573928026,5883501.4526632987
1776.9846,663181.8514187461,5883503.4355555661
1776.9945,663181.8134628424,5883505.4052743362
1777.0273,663181.5975791260,5883507.3484545322
1777.0043,663181.3925704578,5883509.2873281511
1777.0043,663180.9222152886,5883511.2188475607
1776.9879,663180.2764780198,5883513.1574295536
1776.9256,663179.5992728112,5883515.1104182061
1776.8337,663179.4755574472,5883517.0939219277
1776.7386,663179.4697603640,5883519.0802112175
1776.6959,663179.5180703434,5883521.0508596804
1776.6368,663180.1209323844,5883523.0128663350
1776.5811,663180.2892812626,5883525.0126497066
1776.5515,663180.3885217034,5883527.0117528904
1776.4958,663180.4947145000,5883529.0075295325
1776.4564,663180.5919991706,5883530.9832953559
1776.4466,663180.6863630651,5883532.9719890924
1776.4794,663180.4648644630,5883534.9501630608
1776.5483,663180.2702906212,5883536.9213473313
1776.6172,663179.8651947912,5883538.8800272765
1776.6500,663179.7817410574,5883540.8468626346
1776.6729,663179.6772404658,5883542.8095305376
1776.6828,663179.6163177304,5883544.7881552270
1776.7189,663179.2577601871,5883546.7664556773
1776.7353,663179.2411878636,5883548.7501517301
1776.7648,663179.2273042598,5883550.7297081640
1776.7353,663179.2656625806,5883552.7149383826
1776.7746,663179.3024231838,5883554.6958832033
1776.8074,663179.3812843830,5883556.6790392799
1776.8403,663179.2493013656,5883558.6414406104
1776.8534,663179.2071424657,5883560.6006615991
1776.8009,663179.2514452700,5883562.5609303080
1776.7714,663179.2163497800,5883564.5313032381
1776.7910,663179.2281045188,5883566.5140699111
1776.8173,663179.1166973826,5883568.4708244475
1776.8567,663179.0343933264,5883570.4373649554
1776.8534,663179.0047395382,5883572.3975679986
1776.8435,663178.9025055212,5883574.3724495545
1776.8468,663178.8711644490,5883576.3625467345
1776.8698,663178.4684180917,5883578.3093928462
1776.8927,663178.2262250272,5883580.2612540117
1776.9124,663178.0365209746,5883582.2292636996
1776.9157,663177.9126115462,5883584.2204437191
1776.8993,663178.1984472104,5883586.2000614069
1776.8763,663178.4890931759,5883588.1939834068
1776.8009,663178.4181633034,5883590.1612448357
1776.7386,663177.7577461568,5883592.1176993232
1776.6762,663177.7940005768,5883594.1036375230
1776.6729,663177.9955031152,5883596.0610132534
1776.6401,663178.3500412052,5883598.0512070600
1776.6401,663178.8443710977,5883600.0693148104
1776.6073,663179.2688926990,5883602.0955147604
1776.6467,663179.3490408672,5883604.1018743590
1776.6565,663179.0022929506,5883606.0583076784
1776.6664,663178.2897637052,5883607.9796978636
1776.7221,663177.8480068448,5883609.9518284258
1776.7550,663177.4809083577,5883611.9388573347
1776.8271,663177.6750243214,5883613.9556622682
1776.8599,663177.7238958650,5883615.9471514905
1776.9059,663178.0212069814,5883617.9678001944
1776.9124,663177.8896626054,5883619.9646218605
1776.9945,663177.5353099862,5883621.9219100531
1776.9977,663176.9212648228,5883623.8595657097
1777.0371,663176.4828616471,5883625.8119911943
1777.0305,663175.7930055518,5883627.7489614673
1777.0404,663175.4358874846,5883629.7166220425
1777.0109,663175.2724972364,5883631.6936548958
1776.9912,663175.0933305968,5883633.6574579971
1777.0043,663175.1578937168,5883635.6410187511
1777.0043,663175.1972241104,5883637.6409796588
1776.9518,663175.1688139528,5883639.6257208288
1776.9584,663175.5511909920,5883641.6233194526
1776.9616,663175.7605358302,5883643.6181509066
1776.9846,663175.8513961124,5883645.6032741647
1777.0141,663175.7469978202,5883647.5964540495
1777.0273,663175.3293022022,5883649.5768631129
1777.0568,663174.8292961996,5883651.5682794685
1777.1093,663174.5794116012,5883653.5728789298
1777.1618,663174.4833259945,5883655.5661188625
1777.1913,663174.8917383112,5883657.5394392814
1777.2241,663175.3968894180,5883659.5230645351
1777.2471,663175.5680128901,5883661.5041256491
1777.2635,663175.7573166356,5883663.4908155790
1777.2996,663175.5686538868,5883665.4755624486
1777.2963,663175.5205935312,5883667.4663160453
1777.2799,663175.2737402506,5883669.4527581967
1777.2799,663175.1870726198,5883671.4371882789
1777.2668,663174.9985124946,5883673.4386402518
1777.2602,663174.7676670094,5883675.4374293108
1777.2865,663174.6995588432,5883677.4419758078
1777.3258,663174.6824843960,5883679.4344513360
1777.3849,663174.6944664280,5883681.4321461609
1777.4636,663174.7268293258,5883683.4259690549
1777.5424,663174.8422992168,5883685.4208369572
1777.5489,663175.1932031086,5883687.4072331982
1777.4767,663175.1864083748,5883689.4069617139
1777.4636,663175.2398002346,5883691.4014998609
1776.3744,663176.6397582226,5883680.7967285123
1776.3908,663176.5466361968,5883681.7584678344
1776.4498,663176.4413424716,5883684.1367560020
1776.4367,663176.2323021824,5883686.4742154656
1776.4137,663176.0112355436,5883688.7059345581
1776.3645,663176.0528817180,5883690.9866725216
1776.3678,663176.2339714116,5883693.2680333527
1776.3711,663176.2405879522,5883693.7220962420
1776.3711,663176.2216174956,5883694.1813014681
1776.3580,663176.1713388696,5883694.6364355935
1776.3514,663176.0788426192,5883695.0810036594
1776.3350,663176.0654765338,5883695.5252567232
1776.2891,663176.0336557726,5883697.7718743738
1776.2399,663175.9214548628,5883699.8643304938
1776.2103,663175.8123816692,5883701.8924248619
1776.2038,663175.4283387106,5883703.8809930952
1776.1775,663174.9838685500,5883705.8798653558
1776.1775,663174.7799720742,5883707.9005036661
1776.2235,663174.5737265346,5883709.9369842736
1776.3022,663175.3596189190,5883712.0188993234
1776.3875,663175.6499819710,5883714.0937593849
1776.4925,663175.1765204878,5883716.1052295603
1776.5155,663174.7482155396,5883718.1216872362
1776.5450,663174.6602411598,5883720.1800053818
1776.5876,663174.4533763016,5883722.2130132858
1776.6303,663174.1042675176,5883724.2311624270
1776.6762,663173.2510662796,5883726.2358414521
1776.7386,663172.7926186294,5883728.2830071030
1776.7910,663172.5090015610,5883730.3450263580
1776.8599,663172.6706164080,5883732.3630645303
1776.8731,663173.1408812798,5883734.3568607811
1776.8632,663173.6424113108,5883736.3638569452
1776.8895,663173.9533912946,5883738.3884227136
1776.9059,663174.3479405498,5883740.4102635942
1776.8895,663174.6884516894,5883742.4477476412
1776.8271,663174.9086089360,5883744.4891551286
1776.7582,663174.7987825980,5883746.5196735663
1776.7090,663173.6296660852,5883748.4587152358
1776.6631,663173.2326425835,5883750.4840309713
1776.6139,663172.9876934116,5883752.5229810290
1776.5384,663173.0865374042,5883754.5748485560
1776.4531,663173.3688688450,5883756.6413074620
1776.3481,663173.5907175508,5883758.7177344747
1776.2661,663173.4553531969,5883760.7736615464
1776.1578,663173.1204585002,5883762.8135608640
1776.0332,663172.8836658744,5883764.8650361849
1775.9216,663172.7723749410,5883766.9208912840
1775.8265,663172.5382311282,5883768.9733474590
1775.7116,663172.3795644800,5883771.0421773354
1775.6263,663172.7651108766,5883773.1295163939
1775.4853,663172.7069055752,5883775.2016517185
1775.3868,663172.2879098261,5883777.2323441152
1775.2720,663171.5619061486,5883779.2568260198
1775.2031,663171.1024988928,5883781.2968330802
1775.1309,663170.6957136610,5883783.3509890595
1775.1342,663170.8803034570,5883785.4248127295
1775.1211,663171.0165297168,5883787.5012226114
1775.1211,663170.8807852787,5883789.5663783858
1775.1605,663170.7846947248,5883791.6208576793
1775.2556,663170.0886062408,5883793.6549306344
1775.3868,663169.7326651881,5883795.7163831070
1775.4754,663169.6730907144,5883797.7696547797
1775.6067,663169.8219008760,5883799.8111966243
1775.7379,663169.6709038280,5883801.8595774705
1775.8560,663169.6416359114,5883803.8832603237
1775.9479,663169.6882518326,5883805.9133097399
1776.0463,663169.7878043682,5883807.9324663682
1776.1086,663170.2509315117,5883809.9328121692
1776.1218,663170.7618490092,5883811.9158549691
1776.1546,663171.3866700542,5883813.9347275551
1776.2071,663171.8315325876,5883815.9654060155
1776.2563,663171.9775727616,5883817.9996165065
1776.2431,663171.9988410472,5883820.0040855967
1776.2103,663172.2629888144,5883822.0411996813
1776.1710,663172.1181891302,5883824.0630687876
1776.1250,663171.7814497554,5883826.0528006591
1776.0693,663171.5487208486,5883828.0518599646
1776.0594,663170.9150501322,5883830.0329403346
1776.0660,663170.6989103686,5883832.0686393250
1776.0857,663170.4975568446,5883834.0973811746
1776.0988,663170.3553414196,5883836.1300272327
1776.1086,663170.2684019656,5883838.1598768523
1776.1086,663170.1187857682,5883840.1932733087
1776.1086,663169.9756548832,5883842.2331256056
1776.0725,663169.8849483798,5883844.2929099863
1776.0430,663169.3097831986,5883846.3083814094
1776.0365,663168.8005752768,5883848.3362284554
1776.0004,663168.3990488548,5883850.3817672208
1775.9741,663168.0533230760,5883852.4445693027
1775.9413,663168.2036464744,5883854.5026417319
1775.8658,663168.1085965276,5883856.5659527667
1775.8035,663167.8924396508,5883858.6416237559
1775.7445,663167.8692434378,5883860.6976916874
1775.7215,663167.7304259114,5883862.7704258719
1775.6427,663167.6425026868,5883864.8509035967
1775.6329,663167.8712534476,5883866.9016225077
1775.5968,663167.9764424834,5883868.9698510570
1775.5771,663168.3569048758,5883871.0092509948
1775.6263,663168.6201797368,5883873.0581379160
1775.6985,663168.7853627020,5883875.1011277307
1775.7609,663168.9609463200,5883877.1478116233
1775.8002,663169.1183545234,5883879.1808501268
1775.8691,663169.3276667387,5883881.2116455948
1775.9347,663169.4865185232,5883883.2239119187
1775.9971,663169.5596884206,5883885.2478501461
1776.0561,663169.7055308530,5883887.2897369061
1776.1021,663169.7390723204,5883889.3196760351
1776.1382,663169.3378941626,5883891.3037646981
1776.2267,663169.1798547584,5883893.3167215362
1776.2727,663168.8650003785,5883895.3057504250
1776.2956,663168.6686716347,5883897.3129512398
1776.3022,663168.4669145540,5883899.3535933131
1776.2694,663167.8164616346,5883901.3197396342
1776.2530,663167.3304040318,5883903.3077335330
1776.2300,663166.8300344710,5883905.3340997417
1776.2464,663166.4238828524,5883907.3599960916
1776.2431,663166.1357360238,5883909.4036012469
1776.2497,663166.2739721682,5883911.4542481182
1776.2760,663166.4755567028,5883913.5091650998
1776.2825,663166.4401965932,5883915.5719455117
1776.2792,663166.3882660022,5883917.6192422556
1776.2333,663166.3480470900,5883919.6612587916
1776.1382,663166.3148452622,5883921.7098606005
1776.0397,663166.3666771250,5883923.7599070491
1776.0069,663166.3322942066,5883925.7978910264
1775.9708,663166.2236779190,5883927.8421464069
1775.8888,663166.1149432714,5883929.8918536231
1775.8298,663166.0698729143,5883931.9463984063
1775.7740,663166.0040828766,5883934.0069191288
1775.7346,663165.8978665960,5883936.0574914226
1775.7018,663165.7449859075,5883938.1159408400
1775.5739,663165.6334356756,5883940.1774661271
1775.5115,663165.5726932674,5883942.2334821019
1775.4295,663165.4776335220,5883944.3069253471
1775.3770,663165.4086916680,5883946.3615490207
1775.3245,663165.3718043106,5883948.4199351715
1775.3048,663165.3038246532,5883950.4837217880
1775.2950,663165.2806432304,5883952.5432421733
1775.2983,663164.8798578198,5883954.5790080316
1775.2884,663164.6413349614,5883956.6145027801
1775.3179,663164.4805695156,5883958.6485224431
1775.3573,663164.6486220228,5883960.6819231790
1775.3967,663165.0166408954,5883962.7281376543
1775.4065,663165.3917456438,5883964.7769314069
1775.4262,663165.5535409144,5883966.8208084339
1775.3770,663165.6746473904,5883968.8920283336
1775.3540,663165.4791215976,5883970.9367795587
