soilTemperature,volumetric water content,electrical conductivity,Salinity,Total Dissolved Solids,dielectric constant,timestamp,datetime
23.02,87.93,446,245,223,75.21,1685729214,2023-06-02 12:06:54
23.02,87.93,446,245,223,75.21,1685729217,2023-06-02 12:06:57
23,87.93,446,245,223,75.21,1685729220,2023-06-02 12:07:00
23.02,87.93,446,245,223,75.21,1685729223,2023-06-02 12:07:03
23,87.93,446,245,223,75.21,1685729226,2023-06-02 12:07:06
23.02,87.93,446,245,223,75.21,1685729229,2023-06-02 12:07:09
23.02,87.93,446,245,223,75.21,1685729232,2023-06-02 12:07:12
23.02,87.93,446,245,223,75.21,1685729235,2023-06-02 12:07:15
23.02,87.93,446,245,223,75.21,1685729238,2023-06-02 12:07:18
23,87.93,446,245,223,75.21,1685729241,2023-06-02 12:07:21
23,87.93,446,245,223,75.21,1685729244,2023-06-02 12:07:24
23.02,87.93,446,245,223,75.21,1685729247,2023-06-02 12:07:27
23,87.93,446,245,223,75.21,1685729250,2023-06-02 12:07:30
23.02,87.93,446,245,223,75.21,1685729253,2023-06-02 12:07:33
23.02,87.93,446,245,223,75.21,1685729256,2023-06-02 12:07:36
23.02,87.93,446,245,223,75.21,1685729259,2023-06-02 12:07:39
23.02,87.93,446,245,223,75.21,1685729262,2023-06-02 12:07:42
23.02,87.93,446,245,223,75.21,1685729265,2023-06-02 12:07:45
23.02,87.93,446,245,223,75.21,1685729268,2023-06-02 12:07:48
23.02,87.93,446,245,223,75.21,1685729271,2023-06-02 12:07:51
23.02,87.93,446,245,223,75.21,1685729274,2023-06-02 12:07:54
23.02,87.93,446,245,223,75.21,1685729277,2023-06-02 12:07:57
23.02,87.93,446,245,223,75.21,1685729280,2023-06-02 12:08:00
23.02,87.93,446,245,223,75.21,1685729283,2023-06-02 12:08:03
23.02,87.93,446,245,223,75.21,1685729286,2023-06-02 12:08:06
23.02,87.93,446,245,223,75.21,1685729289,2023-06-02 12:08:09
23.02,87.93,446,245,223,75.21,1685729292,2023-06-02 12:08:12
23.02,87.93,446,245,223,75.21,1685729295,2023-06-02 12:08:15
23.02,87.93,446,245,223,75.21,1685729298,2023-06-02 12:08:18
23.02,87.93,446,245,223,75.21,1685729301,2023-06-02 12:08:21
23.02,87.93,446,245,223,75.21,1685729304,2023-06-02 12:08:24
23.02,87.93,446,245,223,75.21,1685729307,2023-06-02 12:08:27
23.05,100,450,247,225,81.87,1685729310,2023-06-02 12:08:30
23.02,99.66,453,249,226,80.85,1685729313,2023-06-02 12:08:33
23.02,87.93,453,249,226,75.21,1685729316,2023-06-02 12:08:36
23.02,87.49,452,248,226,74.97,1685729319,2023-06-02 12:08:39
23.05,87.49,447,245,223,74.97,1685729323,2023-06-02 12:08:43
23.02,45.79,253,139,126,27.91,1685729326,2023-06-02 12:08:46
22.89,0,0,0,0,1.02,1685729329,2023-06-02 12:08:49
22.71,0,0,0,0,0.99,1685729332,2023-06-02 12:08:52
22.53,35.16,134,73,67,18.28,1685729335,2023-06-02 12:08:55
22.38,40.26,230,126,115,22.37,1685729338,2023-06-02 12:08:58
22.51,99.66,460,253,230,80.85,1685729341,2023-06-02 12:09:01
22.84,100,460,253,230,81.87,1685729344,2023-06-02 12:09:04
22.97,100,460,253,230,81.87,1685729347,2023-06-02 12:09:07
23,100,461,253,230,81.87,1685729350,2023-06-02 12:09:10
23,100,461,253,230,81.87,1685729353,2023-06-02 12:09:13
23.02,100,462,254,231,81.87,1685729356,2023-06-02 12:09:16
23.05,100,462,254,231,81.87,1685729359,2023-06-02 12:09:19
23.05,100,462,254,231,81.87,1685729362,2023-06-02 12:09:22
23.05,100,462,254,231,81.87,1685729365,2023-06-02 12:09:25
23.05,100,462,254,231,81.87,1685729368,2023-06-02 12:09:28
23.05,100,462,254,231,81.87,1685729371,2023-06-02 12:09:31
23.05,100,462,254,231,81.87,1685729374,2023-06-02 12:09:34
23.05,100,462,254,231,81.87,1685729377,2023-06-02 12:09:37
23.05,100,462,254,231,81.87,1685729380,2023-06-02 12:09:40
